"","date","time_m","ex","sym_root","tr_scond","size","price","tr_corr"
"1",2012-10-26,09:30:00.212,"T","BAC","O X",12821,9.165,"00"
"2",2012-10-26,09:30:00.212,"T","BAC","Q",12821,9.165,"00"
"3",2012-10-26,09:30:01.850,"P","BAC","Q",500,9.16,"00"
"4",2012-10-26,09:30:01.850,"P","BAC","@",500,9.16,"00"
"5",2012-10-26,09:30:01.850,"P","BAC","@",600,9.16,"00"
"6",2012-10-26,09:30:01.918,"T","BAC","@",500,9.16,"00"
"7",2012-10-26,09:30:01.918,"T","BAC","@",200,9.16,"00"
"8",2012-10-26,09:30:01.970,"T","BAC","@",100,9.16,"00"
"9",2012-10-26,09:30:03.816,"Z","BAC","@",117,9.16,"00"
"10",2012-10-26,09:30:04.162,"K","BAC","F",100,9.16,"00"